자치구,PET 총량,PET 량(공공처리),PET 량(위탁),CAN 총량,CAN 량(공공처리),CAN 량(위탁),구별_총생활인구수_평균,구별_연령대0_생활인구_평균,구별_연령대10_생활인구_평균,구별_연령대20_생활인구_평균,구별_연령대30_생활인구_평균,구별_연령대40_생활인구_평균,구별_연령대50_생활인구_평균,구별_연령대60_생활인구_평균,구별_연령대70_생활인구_평균,1인가구,2인가구,3인가구,4인가구,5인가구,6인가구,7인 이상 가구,유흥주점영업,단란주점,제과점영업,집단급식소,일반음식점,휴게음식점,구별_연령대_100_거주인구_평균,구별_연령대0_거주인구_평균,구별_연령대10_거주인구_평균,구별_연령대20_거주인구_평균,구별_연령대30_거주인구_평균,구별_연령대40_거주인구_평균,구별_연령대50_거주인구_평균,구별_연령대60_거주인구_평균,구별_연령대70_거주인구_평균,구별_연령대80_거주인구_평균,구별_연령대90_거주인구_평균,수거함개수,투명,캔 & 투명,1인가구_비율,수거함당_평균_거주인구수,구별_연령대_거주인구_평균_합
종로구,738.5999999999999,219.3,519.3,443.5,138.9,304.6,245102708.75748065,6419988.627898925,11451350.547035484,44254820.730701074,47020295.38962258,47776180.9204613,39724078.44318925,25311729.30662043,23144264.824525807,1528.4117647058824,957.7058823529412,640.1176470588235,451.7058823529412,119.23529411764706,25.88235294117647,6.470588235294118,380,350,181,246,12775,2780,5.46524064171123,424.3208556149733,627.524064171123,1358.0160427807486,1153.8877005347592,1261.0,1473.4652406417113,1189.957219251337,699.6310160427807,355.7700534759358,57.29946524064172,9,4,5,0.4098135705498249,956.2596553773024,8606.33689839572
중구,712.8,565.9,146.9,484.4,373.3,111.1,182205439.787425,3481592.538596739,5243441.456910869,31903311.551219568,43241259.04095978,40056306.07555761,29576182.990803264,16677377.346694564,12025968.8005,1521.2,998.5333333333332,620.0666666666667,408.9333333333333,95.0,23.0,4.866666666666666,345,96,209,276,8783,3475,6.260606060606061,432.1818181818182,441.83636363636367,1223.4727272727273,1329.3030303030305,1177.012121212121,1351.4303030303029,1190.2,693.0969696969697,324.6424242424243,55.4969696969697,7,4,3,0.41431528488942154,1174.990476190476,8224.933333333332
용산구,973.0,764.8,208.2,469.9,301.8,168.1,174801100.1053,8302748.3230131585,11158111.407442106,29463593.057807893,36120961.18394474,31691328.10228948,25371459.62670264,16704456.808831578,15988441.593194736,2305.0625,1621.3125,1103.4375,733.3125,175.75,35.3125,6.375,20,86,92,128,3517,881,8.920454545454547,815.2159090909091,942.193181818182,2082.443181818182,2375.125,2163.818181818182,2281.630681818182,1814.647727272728,1027.75,534.6818181818181,90.01136363636364,1,1,0,0.3854257020138156,14136.437500000002,14136.437500000002
성동구,1671.3,1149.5,521.8,931.7,454.6,477.1,186960565.95038697,12935447.156,13139381.260799998,32290141.68961739,33994023.923947826,30320094.56233478,27046053.460600004,18988270.61602609,18247153.245891303,2505.0,1904.0,1471.9411764705883,1033.4117647058824,215.0,45.94117647058823,11.882352941176473,38,42,78,154,2657,641,6.272727272727273,1159.9090909090908,1135.8128342245989,2600.828877005348,2801.604278074866,2586.470588235294,2741.8930481283423,2195.0748663101604,1194.0695187165777,518.4652406417113,67.57754010695187,10,5,5,0.3485374277716849,1700.7978609625668,17007.97860962567
광진구,1315.5,0.0,1315.5,552.8,0.0,552.8,206947489.45005333,12817450.649673335,18108539.441926666,38706539.56686,34636568.49090667,32057115.59706,30041773.74248,21410794.95673333,19168706.97408,4153.4,2425.333333333333,1811.6,1386.2666666666669,290.26666666666665,56.4,15.533333333333331,13,66,92,142,3300,935,6.351515151515152,1229.4666666666667,1682.448484848485,4146.884848484849,3673.7454545454543,3414.696969696969,3596.430303030303,2903.733333333333,1472.460606060606,612.9757575757576,81.96363636363637,7,4,3,0.4096540024460489,3260.1653679653673,22821.15757575757
동대문구,1632.7,594.8,1037.9,778.3,239.8,538.5,223341883.53826,12819667.155973334,17062005.215193335,40277470.76090667,33803607.21986667,33231037.75396,32422571.91956667,25677545.43995333,28047978.05922667,4351.785714285715,2629.928571428572,1937.142857142857,1394.857142857143,332.35714285714283,75.85714285714286,19.0,61,93,83,181,3775,939,8.74025974025974,1424.642857142857,1653.5909090909092,4018.3116883116886,3519.0129870129867,3534.6103896103896,3747.025974025974,3361.6363636363635,1968.831168831169,843.5974025974026,104.71428571428572,6,6,0,0.4051591708617903,4030.785714285715,24184.71428571429
중랑구,1924.0,1458.9,465.1,705.4000000000001,368.3,337.1,192412039.8202875,13495900.0669875,14824362.03055,25210752.90659375,28879233.03929375,28794213.10468125,31897180.076918747,24745303.986175,24565094.54315,3537.8125,2848.5,2038.25,1455.9375,334.0,69.1875,18.3125,16,77,70,159,2728,593,6.454545454545454,1373.0,1620.284090909091,3449.840909090909,3573.5625,3529.1477272727275,4265.329545454545,3742.482954545456,1951.7329545454545,765.5852272727273,100.66477272727272,11,7,4,0.34341026014366144,2216.1895661157027,24378.08522727273
성북구,951.8,0.0,951.8,585.4,0.0,585.4,189594060.3369321,12229771.5836283,19111385.682128303,37053629.84971887,27370456.141333964,27874219.91451132,26123429.485118862,18790415.810433965,21040751.81417736,3075.5,2284.65,1826.95,1397.7,318.65,63.6,15.95,11,69,90,179,3292,933,7.454545454545455,1409.090909090909,1828.768181818182,3306.9909090909086,2957.3045454545454,3428.2954545454545,3460.6545454545458,2807.9954545454543,1642.8136363636363,733.4863636363636,100.78181818181818,3,2,1,0.34236891906935324,7227.878787878787,21683.63636363636
강북구,1147.1,0.0,1147.1,193.6,0.0,193.6,195865295.67514285,12354688.149164286,15959004.556942856,26102237.368471425,24977747.42395,29521165.00284285,31176521.53367857,24936432.27223572,30837499.39107857,3514.230769230769,2802.4615384615386,1943.1538461538464,1333.7692307692307,311.38461538461536,64.3076923076923,15.692307692307692,61,110,69,153,3336,626,6.573426573426573,1136.4405594405594,1635.909090909091,3219.8251748251746,2897.853146853147,3466.293706293706,3990.993006993007,3600.2727272727275,2272.7832167832166,928.7902097902098,111.6013986013986,6,5,1,0.3519510034282192,3877.889277389277,23267.335664335664
도봉구,771.8,0.0,771.8,353.5,0.0,353.5,172029454.46850714,11918634.983642858,15418226.5155,20809907.98665,22233957.451271422,25338272.345764287,27646044.627564285,23381478.36771429,25282932.188621428,2491.714285714286,2654.714285714286,2047.0,1506.357142857143,319.85714285714283,61.142857142857146,16.5,19,44,71,174,2030,525,9.12987012987013,1265.428571428571,1771.4545454545455,3024.2597402597407,2839.993506493506,3360.1363636363635,4016.363636363637,3628.3831168831166,1967.5,864.0974025974026,119.62337662337664,14,14,0,0.2738964526310831,1633.3121521335809,22866.37012987013
