자치구,행정동,행정동_코드,1인가구,2인가구,3인가구,4인가구,5인가구,6인가구,7인 이상 가구
종로구,사직동,11110530,1487,1073,701,432,112,28,6
종로구,삼청동,11110540,380,295,189,112,39,11,5
종로구,부암동,11110550,1129,1089,772,552,176,39,16
종로구,평창동,11110560,1302,1891,1500,1156,337,62,17
종로구,무악동,11110570,494,792,744,657,169,20,7
종로구,교남동,11110580,1219,1187,917,646,113,21,0
종로구,가회동,11110600,631,468,343,228,45,13,5
종로구,종로1.2.3.4가동,11110615,2371,770,274,163,41,13,0
종로구,종로5.6가동,11110630,1608,577,288,149,55,10,5
종로구,이화동,11110640,2094,910,469,308,78,19,5
종로구,창신1동,11110670,1069,659,338,191,70,11,0
종로구,창신2동,11110680,1288,984,626,425,123,28,10
종로구,창신3동,11110690,613,786,653,421,102,20,0
종로구,숭인1동,11110700,1007,749,473,289,78,20,6
종로구,숭인2동,11110710,2988,1080,539,357,80,16,5
종로구,청운효자동,11110515,1378,1252,964,806,200,49,10
종로구,혜화동,11110650,4925,1719,1092,787,209,60,13
중구,소공동,11140520,435,244,160,70,12,0,0
중구,회현동,11140540,867,577,307,198,50,9,0
중구,명동,11140550,581,258,130,65,20,0,6
중구,필동,11140570,1020,485,221,127,39,11,0
중구,장충동,11140580,1509,565,274,206,61,13,0
중구,광희동,11140590,1391,676,280,163,34,12,0
중구,을지로동,11140605,781,230,57,36,7,0,0
중구,신당5동,11140650,2182,1313,773,522,126,25,8
중구,황학동,11140670,2963,1649,908,527,126,35,5
중구,중림동,11140680,1627,1390,1065,719,136,29,10
중구,신당동,11140615,2223,944,481,285,68,24,0
중구,다산동,11140625,2466,1761,1054,745,172,52,14
중구,약수동,11140635,2054,2209,1504,918,189,43,8
중구,청구동,11140645,1924,1631,1173,797,194,36,9
중구,동화동,11140665,795,1046,914,756,191,56,13
용산구,후암동,11170510,2800,1941,1344,895,239,48,16
용산구,용산2가동,11170520,1911,1270,769,411,117,20,0
용산구,남영동,11170530,2382,759,364,206,68,9,0
용산구,원효로2동,11170570,1601,1481,1195,916,196,39,15
용산구,효창동,11170580,1082,1136,854,650,157,33,10
용산구,용문동,11170590,1576,1392,1079,692,162,32,0
용산구,이촌1동,11170630,1212,2594,2621,2052,403,79,14
용산구,이촌2동,11170640,803,1102,812,442,119,20,0
용산구,이태원1동,11170650,1479,845,471,226,61,19,0
용산구,이태원2동,11170660,1874,1139,632,359,109,26,5
용산구,서빙고동,11170690,1178,1330,1023,872,251,43,0
용산구,보광동,11170700,3121,1750,997,593,150,26,6
용산구,청파동,11170555,5218,2251,1244,839,202,61,14
용산구,원효로1동,11170560,2735,1861,1296,841,154,28,0
용산구,한강로동,11170625,3755,2434,1463,901,181,43,8
용산구,한남동,11170685,4154,2656,1491,838,243,39,14
성동구,왕십리2동,11200520,2275,1859,1445,1061,216,52,17
성동구,마장동,11200540,3674,2511,1748,1362,318,83,23
성동구,사근동,11200550,4754,1167,647,418,133,25,6
성동구,행당1동,11200560,1930,1522,1192,883,175,32,14
성동구,행당2동,11200570,1764,2625,2190,1761,315,77,15
성동구,응봉동,11200580,1053,1458,1505,1173,253,48,7
성동구,금호1가동,11200590,1538,1771,1512,950,219,48,7
성동구,금호4가동,11200620,1624,1698,1437,861,157,23,12
성동구,성수1가1동,11200650,2435,1889,1325,1056,186,36,10
성동구,성수1가2동,11200660,2499,1524,1100,778,167,27,7
성동구,성수2가1동,11200670,2990,1981,1329,883,189,43,10
