행정동_코드,행정동,유흥주점영업,단란주점,제과점영업,집단급식소,일반음식점,휴게음식점
11110515,청운효자동,0.0,0.0,75.0,282.0,3057.0,959.0
11110530,사직동,156.0,120.0,169.0,353.0,11638.0,2084.0
11110540,삼청동,0.0,0.0,30.0,70.0,3110.0,1170.0
11110550,부암동,0.0,0.0,72.0,104.0,1555.0,731.0
11110560,평창동,22.0,60.0,60.0,107.0,1676.0,804.0
11110570,무악동,0.0,0.0,24.0,95.0,533.0,197.0
11110580,교남동,48.0,12.0,72.0,75.0,1565.0,513.0
11110600,가회동,7.0,12.0,60.0,108.0,2339.0,852.0
11110615,종로1.2.3.4가동,960.0,1038.0,400.0,397.0,29791.0,6361.0
11110630,종로5.6가동,1000.0,132.0,72.0,108.0,6235.0,1213.0
11110640,이화동,0.0,0.0,111.0,158.0,4729.0,1247.0
11110650,혜화동,0.0,0.0,72.0,188.0,8459.0,1600.0
11110670,창신1동,156.0,84.0,21.0,83.0,3635.0,546.0
11110680,창신2동,0.0,0.0,57.0,12.0,1076.0,155.0
11110690,창신3동,12.0,0.0,12.0,24.0,269.0,104.0
11110700,숭인1동,120.0,72.0,48.0,108.0,2620.0,379.0
11110710,숭인2동,36.0,23.0,12.0,12.0,1206.0,255.0
11140520,소공동,327.0,148.0,364.0,300.0,8266.0,3942.0
11140540,회현동,190.0,48.0,372.0,204.0,8540.0,3826.0
11140550,명동,413.0,140.0,299.0,596.0,15399.0,6446.0
11140570,필동,448.0,36.0,95.0,183.0,6389.0,1762.0
11140580,장충동,12.0,24.0,72.0,90.0,1515.0,468.0
11140590,광희동,576.0,72.0,149.0,85.0,8073.0,3517.0
11140605,을지로동,510.0,132.0,56.0,128.0,7091.0,1758.0
11140615,신당동,84.0,108.0,187.0,307.0,8226.0,2668.0
11140625,다산동,0.0,24.0,21.0,48.0,1155.0,243.0
11140635,약수동,0.0,12.0,28.0,60.0,789.0,217.0
11140645,청구동,0.0,24.0,24.0,72.0,576.0,216.0
11140650,신당5동,24.0,96.0,8.0,36.0,1388.0,203.0
11140665,동화동,0.0,12.0,0.0,48.0,713.0,201.0
11140670,황학동,156.0,120.0,48.0,36.0,3629.0,677.0
11140680,중림동,48.0,72.0,83.0,120.0,2485.0,647.0
11170510,후암동,0.0,0.0,45.0,168.0,2075.0,540.0
11170520,용산2가동,0.0,0.0,66.0,86.0,2482.0,333.0
11170530,남영동,57.0,105.0,190.0,125.0,4634.0,1241.0
11170555,청파동,0.0,72.0,60.0,192.0,3990.0,1246.0
11170560,원효로1동,65.0,106.0,72.0,92.0,3494.0,631.0
11170570,원효로2동,0.0,48.0,23.0,112.0,1245.0,354.0
11170580,효창동,0.0,0.0,24.0,63.0,498.0,299.0
11170590,용문동,0.0,12.0,74.0,39.0,1130.0,294.0
11170625,한강로동,24.0,237.0,242.0,249.0,8222.0,2617.0
11170630,이촌1동,9.0,24.0,59.0,156.0,2261.0,598.0
11170640,이촌2동,0.0,0.0,24.0,0.0,219.0,101.0
11170650,이태원1동,117.0,177.0,118.0,108.0,10257.0,859.0
11170660,이태원2동,0.0,12.0,44.0,36.0,2327.0,248.0
11170685,한남동,60.0,348.0,209.0,267.0,8275.0,1224.0
11170690,서빙고동,0.0,24.0,13.0,87.0,663.0,201.0
11170700,보광동,0.0,48.0,36.0,61.0,2076.0,261.0
11200520,왕십리2동,0.0,12.0,48.0,108.0,1113.0,398.0
11200535,왕십리도선동,189.0,144.0,120.0,180.0,4258.0,772.0
11200540,마장동,12.0,36.0,60.0,210.0,1991.0,296.0
11200550,사근동,24.0,12.0,44.0,257.0,3853.0,1027.0
11200560,행당1동,0.0,12.0,198.0,213.0,3587.0,1498.0
11200570,행당2동,0.0,12.0,48.0,54.0,358.0,272.0
11200580,응봉동,0.0,0.0,12.0,60.0,349.0,124.0
11200590,금호1가동,0.0,24.0,24.0,120.0,715.0,210.0
11200615,금호2.3가동,0.0,24.0,87.0,120.0,2284.0,424.0
11200620,금호4가동,0.0,12.0,45.0,108.0,1280.0,275.0
11200645,옥수동,0.0,0.0,126.0,197.0,1235.0,518.0
11200650,성수1가1동,0.0,12.0,108.0,156.0,3927.0,1120.0
11200660,성수1가2동,0.0,12.0,120.0,48.0,2100.0,501.0
11200670,성수2가1동,0.0,144.0,143.0,160.0,6156.0,1764.0
11200690,성수2가3동,0.0,24.0,36.0,196.0,3090.0,737.0
11200720,송정동,12.0,0.0,24.0,60.0,798.0,175.0
11200790,용답동,24.0,12.0,40.0,189.0,2562.0,443.0
11215710,화양동,60.0,168.0,178.0,184.0,10158.0,2035.0
11215730,군자동,60.0,60.0,76.0,221.0,3511.0,946.0
11215740,중곡1동,0.0,60.0,113.0,91.0,4014.0,1280.0
11215750,중곡2동,12.0,48.0,48.0,96.0,1931.0,350.0
11215760,중곡3동,0.0,48.0,60.0,120.0,1890.0,262.0
11215770,중곡4동,0.0,12.0,81.0,142.0,1763.0,341.0
11215780,능동,0.0,0.0,60.0,96.0,1636.0,570.0
11215810,광장동,3.0,92.0,130.0,228.0,2259.0,976.0
