자치구,행정동_x,행정동_코드,월평균_총생활인구수,연령대0_평균,연령대10_평균,연령대20_평균,연령대30_평균,연령대40_평균,연령대50_평균,연령대60_평균,연령대70이상_평균,1인가구,2인가구,3인가구,4인가구,5인가구,6인가구,7인 이상 가구,연령대_100,연령대_0_거주인구수,연령대_10_거주인구수,연령대_20_거주인구수,연령대_30_거주인구수,연령대_40_거주인구수,연령대_50_거주인구수,연령대_60_거주인구수,연령대_70_거주인구수,연령대_80_거주인구수,연령대_90_거주인구수,행정동,유흥주점영업,단란주점,제과점영업,집단급식소,일반음식점,휴게음식점
종로구,청운효자동,11110515,12099172.721141666,837579.0682416667,1248468.898875,1751868.8508,1844913.3428916668,2203568.337566667,1786821.3062666666,1084625.7958916666,1341327.12265,1378,1252,964,806,200,49,10,7.583333333333333,707.8333333333334,1053.4166666666667,1443.3333333333333,1473.5,1937.25,1766.9166666666667,1274.6666666666667,869.4166666666666,480.0,67.08333333333333,청운효자동,0.0,0.0,75.0,282.0,3057.0,959.0
종로구,사직동,11110530,16763105.776416669,567745.477675,785636.9690083334,2477195.1718,3636743.8461916666,3529509.604383333,2634324.71275,1563019.38425,1568930.6095583334,1487,1073,701,432,112,28,6,6.166666666666667,514.8333333333334,619.9166666666666,1124.0,1335.0,1348.8333333333333,1400.4166666666667,1107.9166666666667,669.0833333333334,427.1666666666667,78.33333333333333,사직동,156.0,120.0,169.0,353.0,11638.0,2084.0
종로구,삼청동,11110540,4049699.274141667,113448.8645,293030.2610416667,747706.5844083334,741665.6259666666,737824.159475,619028.4637166667,426455.54025,370539.77414166665,380,295,189,112,39,11,5,5.166666666666667,94.33333333333331,164.75,290.3333333333333,296.4166666666667,323.75,358.6666666666667,375.4166666666667,232.83333333333331,131.83333333333334,25.33333333333333,삼청동,0.0,0.0,30.0,70.0,3110.0,1170.0
종로구,부암동,11110550,10833039.365108334,598887.8744666666,1165715.9622416666,1313121.14645,1337209.424225,1821755.3492416667,1739127.589225,1354905.7566416666,1502316.255775,1129,1089,772,552,176,39,16,5.25,476.0833333333333,808.4166666666666,1169.0833333333333,1111.3333333333333,1460.0,1545.0833333333333,1218.5,700.1666666666666,353.4166666666667,68.41666666666667,부암동,0.0,0.0,72.0,104.0,1555.0,731.0
종로구,평창동,11110560,13859781.9018,913150.712,1451723.4250416665,1488733.954075,1545000.3261666668,2170841.2323166667,2356429.626441667,1929809.5343583336,2004093.1014916664,1302,1891,1500,1156,337,62,17,9.583333333333334,1057.75,1468.9166666666667,2198.5,2021.9166666666667,2476.5,2983.083333333333,2400.5,1220.5833333333333,714.0833333333334,147.33333333333334,평창동,22.0,60.0,60.0,107.0,1676.0,804.0
종로구,무악동,11110570,5067021.279791667,386905.784875,586736.2550916667,627309.6504666667,599921.7927166667,773726.7305749999,753723.2410916666,619932.0263083334,718765.7872166666,494,792,744,657,169,20,7,5.916666666666667,619.5,909.9166666666666,835.25,846.0,1313.3333333333333,1295.6666666666667,942.6666666666666,548.9166666666666,289.5833333333333,39.91666666666666,무악동,0.0,0.0,24.0,95.0,533.0,197.0
종로구,교남동,11110580,5198567.659575,445096.7036666667,493694.9151,619182.321225,787991.0265166666,963632.8594416667,774937.3591833333,528499.8444666667,585532.6332916667,1219,1187,917,646,113,21,0,3.75,767.0,744.5,1131.0,1486.8333333333333,1650.9166666666667,1453.0,1076.6666666666667,665.1666666666666,304.9166666666667,40.5,교남동,48.0,12.0,72.0,75.0,1565.0,513.0
종로구,가회동,11110600,4890685.427216667,216897.43105,475905.2320166666,659855.189125,895947.429025,999282.3463333332,764360.1610666667,405002.979375,473434.66218333336,631,468,343,228,45,13,5,3.0,170.0,301.6666666666667,446.1666666666667,506.3333333333333,662.5,647.75,529.8333333333334,367.9166666666667,175.58333333333334,32.333333333333336,가회동,7.0,12.0,60.0,108.0,2339.0,852.0
종로구,종로1.2.3.4가동,11110615,40276167.95569167,622398.1855083333,1085248.9272833334,7434889.413908333,8306646.257449999,8295717.090391667,6751160.338758334,4250522.688208333,3529585.06205,2371,770,274,163,41,13,0,11.25,170.75,201.75,843.0,852.1666666666666,860.3333333333334,1210.3333333333333,1291.3333333333333,754.3333333333334,358.4166666666667,62.91666666666666,종로1.2.3.4가동,960.0,1038.0,400.0,397.0,29791.0,6361.0
종로구,종로5.6가동,11110630,12006303.04925,149242.97115833333,475799.14619166666,1814353.9099166663,1963097.8179666668,2014848.6717416665,2391266.212416667,1718105.824175,1479588.5039916665,1608,577,288,149,55,10,5,2.25,94.5,218.08333333333331,1005.5,673.5833333333334,524.5,835.5,698.6666666666666,459.5833333333333,200.25,27.916666666666668,종로5.6가동,1000.0,132.0,72.0,108.0,6235.0,1213.0
