행정동코드,연도,월,연령대_I00,연령대_0_거주인구수,연령대_10_거주인구수,연령대_20_거주인구수,연령대_30_거주인구수,연령대_40_거주인구수,연령대_50_거주인구수,연령대_60_거주인구수,연령대_70_거주인구수,연령대_80_거주인구수,연령대_90_거주인구수
11110515,2021,1,20,823,1165,1590,1683,2148,1981,1395,1008,536,77
11110515,2021,2,20,793,1159,1587,1651,2157,1973,1399,999,537,78
11110515,2021,4,7,785,1144,1575,1608,2125,1917,1372,941,520,69
11110515,2021,5,7,776,1146,1565,1601,2122,1914,1379,943,519,70
11110515,2021,6,7,773,1142,1573,1599,2112,1910,1383,939,514,72
11110515,2021,7,7,776,1144,1573,1600,2115,1912,1384,935,517,72
11110515,2021,8,7,765,1142,1582,1591,2098,1910,1384,940,521,74
11110515,2021,9,7,762,1145,1567,1592,2110,1919,1391,934,521,72
11110515,2021,10,5,754,1155,1567,1593,2095,1919,1401,929,521,72
11110515,2021,11,2,749,1151,1575,1583,2090,1923,1401,933,525,74
11110515,2021,12,2,738,1148,1566,1581,2075,1925,1407,932,529,75
11110530,2021,1,21,578,692,1235,1441,1492,1551,1212,767,463,92
11110530,2021,2,21,568,696,1227,1461,1481,1556,1213,762,465,92
11110530,2021,4,5,571,678,1245,1455,1489,1546,1228,771,469,78
11110530,2021,5,5,567,671,1242,1446,1463,1515,1201,717,458,82
11110530,2021,6,5,566,671,1237,1458,1458,1509,1203,723,460,81
11110530,2021,7,5,560,667,1244,1470,1448,1508,1209,720,460,85
11110530,2021,8,4,550,669,1227,1464,1456,1512,1206,726,461,85
11110530,2021,9,3,553,668,1223,1466,1465,1519,1207,720,467,88
11110530,2021,10,3,552,680,1207,1456,1469,1520,1204,717,471,88
11110530,2021,11,1,555,672,1199,1456,1476,1536,1205,706,476,85
11110530,2021,12,1,558,675,1202,1447,1489,1533,1207,700,476,84
11110540,2021,1,6,105,188,310,353,367,411,408,285,149,31
11110540,2021,2,6,107,186,313,338,375,411,412,282,147,32
11110540,2021,4,6,107,190,308,332,358,394,400,253,143,28
11110540,2021,5,6,106,183,310,328,352,387,404,251,142,28
11110540,2021,6,6,106,181,313,321,353,390,408,249,143,28
11110540,2021,7,6,97,178,314,323,348,387,414,247,142,28
11110540,2021,8,6,99,175,317,326,339,386,414,245,141,27
11110540,2021,9,6,102,177,326,320,347,385,416,243,142,26
11110540,2021,10,6,100,175,326,309,353,382,413,247,142,25
11110540,2021,11,6,101,173,327,304,345,386,409,247,144,25
11110540,2021,12,2,102,171,320,303,348,385,407,245,147,26
11110550,2021,1,12,545,917,1337,1229,1630,1712,1325,809,395,79
11110550,2021,2,14,538,912,1321,1221,1634,1709,1336,805,394,77
11110550,2021,4,4,527,899,1301,1209,1602,1687,1325,767,375,75
11110550,2021,5,4,524,891,1294,1208,1590,1692,1317,765,378,74
11110550,2021,6,4,522,880,1282,1212,1596,1676,1313,767,376,75
11110550,2021,7,4,527,875,1274,1206,1600,1666,1314,758,381,74
11110550,2021,8,5,513,878,1264,1202,1587,1674,1328,756,381,73
11110550,2021,9,5,513,871,1252,1207,1589,1676,1327,748,387,73
11110550,2021,10,4,507,861,1241,1214,1578,1678,1334,753,387,74
11110550,2021,11,4,500,863,1236,1218,1563,1689,1350,741,391,74
11110550,2021,12,3,497,854,1227,1210,1551,1682,1353,733,396,73
11110560,2021,1,22,1150,1646,2455,2228,2756,3278,2539,1387,769,164
11110560,2021,2,23,1142,1629,2441,2223,2743,3283,2546,1381,776,160
11110560,2021,4,10,1155,1614,2416,2238,2719,3270,2583,1357,772,160
11110560,2021,5,8,1167,1603,2422,2224,2700,3248,2604,1330,766,158
