행정동코드,연도,월,연령대_I00,연령대_0_거주인구수,연령대_10_거주인구수,연령대_20_거주인구수,연령대_30_거주인구수,연령대_40_거주인구수,연령대_50_거주인구수,연령대_60_거주인구수,연령대_70_거주인구수,연령대_80_거주인구수,연령대_90_거주인구수,총생활인구수,연령대0_생활인구,연령대10_생활인구,연령대20_생활인구,연령대30_생활인구,연령대40_생활인구,연령대50_생활인구,연령대60_생활인구,연령대70이상_생활인구
11110515,2021,1,20.0,823.0,1165.0,1590.0,1683.0,2148.0,1981.0,1395.0,1008.0,536.0,77.0,11307412.445,759050.179,1040199.604,1613468.5614,1744509.119,2094554.2295,1697057.0414,1062395.6269,1296178.1286
11110515,2021,2,20.0,793.0,1159.0,1587.0,1651.0,2157.0,1973.0,1399.0,999.0,537.0,78.0,10479226.9377,707829.2716,965587.9708,1542301.8073,1631035.0146,1912391.0554,1564386.3283,964644.6068,1191050.8666
11110515,2021,4,7.0,785.0,1144.0,1575.0,1608.0,2125.0,1917.0,1372.0,941.0,520.0,69.0,11900476.3931,843273.9347,1260269.5142,1694838.0149,1836349.8546,2182890.0111,1738710.653,1054481.5578,1289662.8546
11110515,2021,5,7.0,776.0,1146.0,1565.0,1601.0,2122.0,1914.0,1379.0,943.0,519.0,70.0,12050343.2263,824592.0282,1272872.2704,1736270.8808,1841980.9537,2207365.1709,1759905.0857,1078988.772,1328368.04
11110515,2021,6,7.0,773.0,1142.0,1573.0,1599.0,2112.0,1910.0,1383.0,939.0,514.0,72.0,11772173.1233,836420.9945,1297676.0832,1661446.2553,1796939.8941,2140393.2468,1722394.6746,1037375.6887,1279526.2988
11110515,2021,7,7.0,776.0,1144.0,1573.0,1600.0,2115.0,1912.0,1384.0,935.0,517.0,72.0,11713183.7692,778857.8155,1153056.039,1699381.8969,1776962.9749,2172284.6483,1742529.3767,1054943.8089,1335167.2162
11110515,2021,8,7.0,765.0,1142.0,1582.0,1591.0,2098.0,1910.0,1384.0,940.0,521.0,74.0,11914809.9636,796415.6109,1184625.0545,1723743.898,1802487.971,2184020.2475,1775018.7437,1074611.5037,1373886.9383
11110515,2021,9,7.0,762.0,1145.0,1567.0,1592.0,2110.0,1919.0,1391.0,934.0,521.0,72.0,12223883.6876,844690.8706,1292939.9709,1726482.6901,1845190.3184,2231120.8769,1798377.6784,1098892.2814,1386189.0345
11110515,2021,10,5.0,754.0,1155.0,1567.0,1593.0,2095.0,1919.0,1401.0,929.0,521.0,72.0,13165073.8634,923144.5243,1398519.3682,1909644.5465,1989153.566,2384433.7656,1940946.5505,1164107.4848,1455124.0708
11110515,2021,11,2.0,749.0,1151.0,1575.0,1583.0,2090.0,1923.0,1401.0,933.0,525.0,74.0,13243638.2666,931399.6504,1387028.6783,2050657.063,2020167.4642,2339277.5074,1942977.2696,1157133.5989,1414997.017
11110515,2021,12,2.0,738.0,1148.0,1566.0,1581.0,2075.0,1925.0,1407.0,932.0,529.0,75.0,13179269.7321,943868.1365,1407737.4463,1948079.441,1982520.4031,2338453.0846,1946096.6673,1181230.3535,1431284.2041
11110530,2021,1,21.0,578.0,692.0,1235.0,1441.0,1492.0,1551.0,1212.0,767.0,463.0,92.0,16177639.4255,614087.382,758788.9209,2212104.1355,3451204.9896,3369729.8889,2550061.7991,1558386.6433,1663275.6431
11110530,2021,2,21.0,568.0,696.0,1227.0,1461.0,1481.0,1556.0,1213.0,762.0,465.0,92.0,15362955.5812,565346.5225,737546.2174,2215562.0414,3288749.7817,3170806.3118,2416820.091,1452005.09,1516119.541
11110530,2021,4,5.0,571.0,678.0,1245.0,1455.0,1489.0,1546.0,1228.0,771.0,469.0,78.0,17761172.4119,585068.7716,823668.8856,2589019.4838,3906878.499,3785493.5429,2774169.3953,1619484.0701,1677389.7709
11110530,2021,5,5.0,567.0,671.0,1242.0,1446.0,1463.0,1515.0,1201.0,717.0,458.0,82.0,17526903.3676,635486.6196,885184.1666,2586479.6368,3717368.8761,3641128.3781,2746021.5721,1627017.3635,1688216.7565
11110530,2021,6,5.0,566.0,671.0,1237.0,1458.0,1458.0,1509.0,1203.0,723.0,460.0,81.0,17686718.0178,591776.4078,811930.7018,2600767.2554,3845054.6125,3822529.5629,2774629.0634,1595693.7827,1644336.5831
11110530,2021,7,5.0,560.0,667.0,1244.0,1470.0,1448.0,1508.0,1209.0,720.0,460.0,85.0,17018339.3627,599632.9088,795770.8808,2517237.7272,3670805.4057,3623616.2928,2670992.0288,1565987.002,1574297.1076
11110530,2021,8,4.0,550.0,669.0,1227.0,1464.0,1456.0,1512.0,1206.0,726.0,461.0,85.0,16162698.1119,558573.4416,752650.2011,2435851.1523,3509208.2631,3416287.7498,2520419.2979,1490306.7423,1479401.265
11110530,2021,9,3.0,553.0,668.0,1223.0,1466.0,1465.0,1519.0,1207.0,720.0,467.0,88.0,15199095.8149,480506.4659,713590.4947,2257740.6376,3290252.6259,3199178.429,2404164.4626,1444085.8827,1409576.8243
11110530,2021,10,3.0,552.0,680.0,1207.0,1456.0,1469.0,1520.0,1204.0,717.0,471.0,88.0,16122217.182,522104.0909,744323.3478,2434471.0097,3512909.1442,3331362.5118,2545273.8964,1546003.2021,1485769.9847
11110530,2021,11,1.0,555.0,672.0,1199.0,1456.0,1476.0,1536.0,1205.0,706.0,476.0,85.0,17158679.993,507542.1294,760513.0534,2696172.4802,3821248.3624,3609426.7173,2692510.4252,1598215.9048,1473050.9125
11110530,2021,12,1.0,558.0,675.0,1202.0,1447.0,1489.0,1533.0,1207.0,700.0,476.0,84.0,16692810.3921,529002.5263,782888.0282,2540886.2618,3639775.0007,3497325.3032,2656689.1184,1573628.5312,1472615.6351
11110540,2021,1,6.0,105.0,188.0,310.0,353.0,367.0,411.0,408.0,285.0,149.0,31.0,3967976.1928,120990.2029,206745.8413,738806.9177,731486.0116,745730.6271,610304.8777,437913.0016,375998.6949
11110540,2021,2,6.0,107.0,186.0,313.0,338.0,375.0,411.0,412.0,282.0,147.0,32.0,3836887.5315,116370.2704,204710.38,716905.9193,713879.541,718877.5223,580460.8863,415004.8821,370678.1364
11110540,2021,4,6.0,107.0,190.0,308.0,332.0,358.0,394.0,400.0,253.0,143.0,28.0,4339273.1287,124041.4179,324608.5664,756190.8924,831225.5554,816866.2142,658081.3275,437816.8014,390442.3524
11110540,2021,5,6.0,106.0,183.0,310.0,328.0,352.0,387.0,404.0,251.0,142.0,28.0,4399212.5157,129145.7548,354159.0519,771164.4966,822262.3429,798180.2333,665028.5482,460373.7641,398898.3303
11110540,2021,6,6.0,106.0,181.0,313.0,321.0,353.0,390.0,408.0,249.0,143.0,28.0,4206278.2542,116334.6827,340727.9363,741215.1727,778148.8986,771579.1055,646140.3249,439882.5313,372249.5888
11110540,2021,7,6.0,97.0,178.0,314.0,323.0,348.0,387.0,414.0,247.0,142.0,28.0,3920080.0293,106428.7607,284942.0233,715333.654,711344.7739,713845.9773,605956.8855,420065.2927,362162.659
11110540,2021,8,6.0,99.0,175.0,317.0,326.0,339.0,386.0,414.0,245.0,141.0,27.0,3896122.0179,107149.9284,286634.9055,743754.4903,697841.7097,687327.3929,600783.2424,414079.099,358551.2423
11110540,2021,9,6.0,102.0,177.0,326.0,320.0,347.0,385.0,416.0,243.0,142.0,26.0,3966388.765,102105.2368,321335.6965,765898.3076,714054.7982,691901.3503,604863.2765,410805.8114,355424.2891
11110540,2021,10,6.0,100.0,175.0,326.0,309.0,353.0,382.0,413.0,247.0,142.0,25.0,4093911.6305,109616.5829,317047.2656,785488.5223,732716.7532,719052.5156,625685.0841,430617.4368,373687.4713
11110540,2021,11,6.0,101.0,173.0,327.0,304.0,345.0,386.0,409.0,247.0,144.0,25.0,3953575.0863,102739.4861,276328.3146,762992.9728,710952.2782,717670.9429,621425.3533,410169.1926,351296.5629
11110540,2021,12,2.0,102.0,171.0,320.0,303.0,348.0,385.0,407.0,245.0,147.0,26.0,3552687.4904,95973.3081,263269.5249,684986.3138,617516.3329,636352.3109,544555.8143,382691.8778,327342.0015
11110550,2021,1,12.0,545.0,917.0,1337.0,1229.0,1630.0,1712.0,1325.0,809.0,395.0,79.0,11159112.2464,594912.8119,1063888.2953,1360160.5775,1371046.8808,1918525.2556,1824134.7279,1418094.3917,1608349.305
11110550,2021,2,14.0,538.0,912.0,1321.0,1221.0,1634.0,1709.0,1336.0,805.0,394.0,77.0,9874919.5171,513779.5656,919437.7062,1186222.0995,1217000.7592,1687258.7361,1619122.801,1285866.0129,1446231.8216
11110550,2021,4,4.0,527.0,899.0,1301.0,1209.0,1602.0,1687.0,1325.0,767.0,375.0,75.0,10772655.064,605608.4707,1183254.4834,1294979.399,1352868.916,1807412.8173,1705852.6069,1336156.6233,1486521.7489
11110550,2021,5,4.0,524.0,891.0,1294.0,1208.0,1590.0,1692.0,1317.0,765.0,378.0,74.0,11224407.9489,614526.2211,1218768.0739,1372653.8498,1402463.3141,1876736.9697,1779685.3539,1393925.0643,1565649.0859
11110550,2021,6,4.0,522.0,880.0,1282.0,1212.0,1596.0,1676.0,1313.0,767.0,376.0,75.0,10705132.9661,602782.5836,1186993.8429,1281368.9477,1338373.3373,1788555.4788,1694060.9728,1317439.0319,1495558.767
11110550,2021,7,4.0,527.0,875.0,1274.0,1206.0,1600.0,1666.0,1314.0,758.0,381.0,74.0,10770447.0693,582420.8669,1137397.7733,1304885.6458,1343098.4496,1831808.4088,1706065.0412,1330026.5588,1534744.3112
11110550,2021,8,5.0,513.0,878.0,1264.0,1202.0,1587.0,1674.0,1328.0,756.0,381.0,73.0,10864820.0518,596031.1351,1162857.8409,1270792.4825,1333424.7818,1855344.3729,1772917.3217,1356356.5046,1517095.6164
11110550,2021,9,5.0,513.0,871.0,1252.0,1207.0,1589.0,1676.0,1327.0,748.0,387.0,73.0,10696879.0879,601432.974,1206678.7779,1284395.2288,1302421.1547,1810882.9191,1710701.9643,1339865.6387,1440500.4298
11110550,2021,10,4.0,507.0,861.0,1241.0,1214.0,1578.0,1678.0,1334.0,753.0,387.0,74.0,10970006.4618,621025.2392,1224111.7837,1335198.7842,1354594.6478,1844663.0746,1761725.6408,1361648.6702,1467038.6032
11110550,2021,11,4.0,500.0,863.0,1236.0,1218.0,1563.0,1689.0,1350.0,741.0,391.0,74.0,10772345.5007,616103.561,1231766.4789,1352766.0184,1308328.0923,1770206.4321,1730164.4215,1334219.0228,1428791.4987
11110550,2021,12,3.0,497.0,854.0,1227.0,1210.0,1551.0,1682.0,1353.0,733.0,396.0,73.0,10937149.0052,620032.9403,1205136.6413,1323075.0772,1337786.8706,1784714.8757,1776396.7773,1392062.013,1497943.7705
11110560,2021,1,22.0,1150.0,1646.0,2455.0,2228.0,2756.0,3278.0,2539.0,1387.0,769.0,164.0,14660085.4086,956066.5708,1493502.0734,1603187.2239,1635609.9103,2314418.441,2497067.7692,2008092.1235,2152141.326
11110560,2021,2,23.0,1142.0,1629.0,2441.0,2223.0,2743.0,3283.0,2546.0,1381.0,776.0,160.0,13081083.1454,875747.213,1316352.2694,1420439.9677,1459739.8263,2045344.8571,2228765.1125,1803231.1318,1931462.7806
11110560,2021,4,10.0,1155.0,1614.0,2416.0,2238.0,2719.0,3270.0,2583.0,1357.0,772.0,160.0,13934942.0988,923874.8424,1505376.5589,1510725.8382,1548579.0211,2187402.8308,2324737.0199,1926375.1961,2007870.8753
11110560,2021,5,8.0,1167.0,1603.0,2422.0,2224.0,2700.0,3248.0,2604.0,1330.0,766.0,158.0,14683397.0527,958274.0606,1609029.7993,1580996.03,1647637.5596,2304155.9607,2466224.2202,2005177.8785,2111901.558
11110560,2021,6,8.0,1162.0,1605.0,2413.0,2214.0,2693.0,3240.0,2613.0,1324.0,774.0,158.0,13935175.303,921115.3529,1528621.5203,1512170.0318,1542586.0353,2170456.7134,2325832.0934,1924169.0709,2010224.4922
11110560,2021,7,8.0,1154.0,1599.0,2399.0,2213.0,2693.0,3232.0,2623.0,1322.0,770.0,164.0,14282694.0125,943956.197,1468764.2089,1533695.7256,1633346.7854,2249096.3002,2413287.372,2001643.1161,2038904.3019
11110560,2021,8,8.0,1154.0,1585.0,2383.0,2189.0,2679.0,3234.0,2648.0,1316.0,771.0,165.0,13823450.1886,908149.8667,1410727.4122,1479006.1752,1554841.252,2157188.6761,2379438.0761,1951846.2434,1982252.4918
11110560,2021,9,8.0,1153.0,1595.0,2391.0,2172.0,2678.0,3243.0,2653.0,1314.0,789.0,162.0,13513479.9409,891071.8008,1402020.4283,1437073.5187,1514587.7434,2099439.4054,2333087.4089,1901174.13,1935025.4588
11110560,2021,10,7.0,1154.0,1587.0,2364.0,2180.0,2684.0,3254.0,2652.0,1310.0,793.0,160.0,13622785.5041,885576.232,1372748.9422,1450838.1648,1514911.7796,2142927.81,2355058.1552,1925591.3721,1975133.0192
11110560,2021,11,7.0,1154.0,1585.0,2356.0,2182.0,2683.0,3259.0,2666.0,1303.0,799.0,158.0,12971241.1424,850888.0185,1347587.5553,1370490.5514,1415964.9485,2029986.6507,2222310.1119,1832241.0759,1901772.2224
11110560,2021,12,6.0,1148.0,1579.0,2342.0,2200.0,2690.0,3256.0,2679.0,1303.0,790.0,159.0,13350905.2536,883825.5994,1375699.9685,1389389.3239,1482400.8451,2090536.4543,2302768.1759,1902112.6405,1924172.2701
11110570,2021,1,19.0,696.0,1011.0,922.0,939.0,1496.0,1415.0,1011.0,649.0,309.0,52.0,5421656.7809,435814.0296,612246.1181,665222.8003,615243.68,830279.0859,793961.9209,651893.5252,816995.5791
11110570,2021,2,20.0,701.0,1001.0,922.0,946.0,1478.0,1418.0,1026.0,636.0,317.0,51.0,4770338.6905,376486.9145,536269.4277,571412.0804,570769.84,729735.9805,707413.4156,573632.1646,704618.854
