년도,월,행정동코드,총생활인구수,연령대0,연령대10,연령대20,연령대30,연령대40,연령대50,연령대60,연령대70이상
2021,01,11110515,11307412.445,759050.179,1040199.604,1613468.5614,1744509.119,2094554.2295,1697057.0414,1062395.6269,1296178.1286
2021,01,11110530,16177639.4255,614087.382,758788.9209,2212104.1355,3451204.9896,3369729.8889,2550061.7991,1558386.6432999999,1663275.6431
2021,01,11110540,3967976.1928,120990.2029,206745.8413,738806.9177,731486.0116,745730.6271,610304.8777,437913.0016,375998.6949
2021,01,11110550,11159112.2464,594912.8119,1063888.2953,1360160.5775,1371046.8808,1918525.2556,1824134.7279,1418094.3917,1608349.305
2021,01,11110560,14660085.4086,956066.5708,1493502.0734,1603187.2239,1635609.9102999999,2314418.441,2497067.7692,2008092.1235,2152141.326
2021,01,11110570,5421656.7809,435814.0296,612246.1181,665222.8003,615243.68,830279.0859,793961.9209,651893.5252,816995.5791
2021,01,11110580,4728627.5978,407600.7576,436393.1809,566040.9617,688998.0714,854542.3152,686428.0595,505163.5808,583460.6707
2021,01,11110600,4754970.5768,217182.4228,323122.3443,643120.2305,862058.4145,1033159.0428,769749.7527,418750.6507,487827.6903
2021,01,11110615,34789484.8684,472760.3646,720314.1163999999,6018744.5726,7360953.1825,7579086.2393000005,6057604.4422,3700092.4538,2879929.494
2021,01,11110630,11613548.1635,158610.2487,401600.0142,1724577.1767,1946791.4753,1973871.7454,2368995.5049,1630002.0888,1409099.9134
2021,01,11110640,15710702.1048,389320.7809,763552.9535,3269643.3268,3168080.875,2618990.0683,2347578.9281,1536676.3416,1616858.8554
2021,01,11110650,19463975.3787,822392.1599,1907640.1587,5586748.029,2482288.6709,2734762.5609999998,2383051.3726,1549777.5073,1997314.8956
2021,01,11110670,6754842.3708,121226.6048,244985.9747,887946.025,1076564.2517,1122509.6136,1393184.903,1042061.7729,866363.2162
2021,01,11110680,7455567.0465,229584.3707,544522.4979,1055563.75,904724.9137,1012185.1585,1562721.5536,1104645.7367,1041619.0559
2021,01,11110690,3639803.6869,261228.1966,321828.8706,452175.4356,595188.7772,588211.2302,572060.9474,430064.0901,419046.1606
2021,01,11110700,6080833.6157,306779.5212,354945.8827,821752.3076000001,947047.8219,983150.4758,1125762.3431,783426.1553,757969.1304
2021,01,11110710,9806202.7751,308216.8677,376839.665,1678691.4565,1673233.418,1589404.3835,1750613.0472,1277683.583,1151520.351
2021,01,11140520,16116292.1583,230546.8678,237856.5357,2490827.6366,4318627.8075,4264403.6923,2690216.7897,1208323.5929999999,675489.2161
2021,01,11140540,15257492.9734,209913.8859,282413.4673,2156145.0036,3511036.1822,3505814.3695,2649178.9196,1675302.8131,1267688.3297
2021,01,11140550,18953133.2922,209648.9664,317035.0972,3441911.4546,5134191.2321,4639606.9863,2894129.9643,1404451.9866,912157.5924
2021,01,11140570,7050243.1073,210701.1633,284460.6909,1504784.4376,1314463.0886,1337810.7554,1157125.2623,672726.4467,568171.2654
2021,01,11140580,6913748.7871,129728.1432,286760.1238,1616908.5163,1360693.9924,1213257.2974,1022700.4317,714921.2621,568779.0267
2021,01,11140590,14259280.2313,195419.4428,395481.4804,2773238.7818,3064437.8828,2775232.0372,2405462.2663,1601901.9335999999,1048106.394
2021,01,11140605,10722963.0662,66172.1964,133657.3502,1464230.2326,1996048.0018,2247262.9758,2286382.6636,1443160.7087,1086048.9022
2021,01,11140615,15856143.3671,234687.3615,418891.9014,2849711.9492,3901261.3638999998,2996290.0549,2494787.5328,1629615.5551,1330897.6547
2021,01,11140625,11213804.8112,524100.0547,699467.1984,1757826.6588,2010073.851,1823719.0597,1634812.1105,1361415.1897,1402390.7007
2021,01,11140635,12376708.7605,790493.4611,691277.7235,1352853.9226,2065093.0263,2001760.8746,1815786.4324,1705068.4072,1954374.9437
2021,01,11140645,9280191.5078,652110.3143,696296.5632,1184946.3727,1578207.6567,1394438.0288,1453024.6774,1011040.4273,1310127.4274
2021,01,11140650,8313831.802,549401.7009,507833.9661,1222221.3681,1443440.8003,1347871.3529,1383494.1012,997887.9189,861680.5883
