RN,geometry,대형마트_개수,편의점_개수,어린이집_개수,학교_개수,학원_개수,주차장_개수,주유소_개수,지하철역_개수,은행_개수,문화시설_개수,중개업소_개수,공공기관_개수,관광명소_개수,숙박_개수,음식점_개수,카페_개수,병원_개수,약국_개수,헬스클럽_개수,셀프빨래방_개수,집객시설_총_개수,상주인구
화곡로14길,POINT (126.833788 37.539857),1,7,5,0,13,2,0,0,2,0,11,1,0,1,15,12,5,2,5,1,83,101
가로공원로,POINT (126.834051 37.536712),0,5,2,0,5,3,1,0,3,0,11,1,0,2,15,3,1,0,0,1,53,95
화곡로,POINT (126.834484 37.540048),1,8,4,0,13,3,0,0,2,0,14,1,0,1,15,15,5,2,5,1,90,98
월정로,POINT (126.834568 37.536208),0,5,2,0,10,3,1,0,3,0,12,1,0,1,15,2,1,0,0,0,56,94
가로공원로72길,POINT (126.834757 37.536815),0,3,1,0,4,3,1,0,4,0,8,1,0,2,15,4,2,1,0,0,49,84
화곡로14길,POINT (126.83478 37.538239),0,5,2,0,5,1,1,0,4,0,15,1,0,3,15,6,3,1,1,1,64,78
월정로,POINT (126.835559 37.534588),0,2,3,1,15,1,0,0,2,0,9,0,0,0,15,5,1,1,0,0,55,79
화곡로18길,POINT (126.835605 37.540346),0,7,3,0,8,7,0,0,3,1,15,1,0,0,15,15,10,4,5,1,95,90
가로공원로72길,POINT (126.835746 37.535194),0,2,4,1,15,1,0,0,3,0,11,1,0,0,15,5,4,2,0,0,64,73
화곡로18길,POINT (126.835949 37.538899),0,3,2,0,8,2,0,0,3,0,15,0,0,0,15,7,3,3,2,1,64,70
월정로30길,POINT (126.836097 37.533708),0,2,2,1,15,2,0,0,3,0,11,0,0,0,15,5,4,3,0,0,63,76
화곡로20길,POINT (126.836272 37.540523),0,7,0,0,9,6,0,0,2,1,15,1,0,0,15,15,8,2,5,0,86,88
가로공원로,POINT (126.836279 37.537027),0,3,4,0,2,0,1,0,4,1,13,1,0,1,15,8,4,1,0,1,59,52
화곡로18길,POINT (126.836371 37.538317),0,4,1,0,4,1,0,0,3,1,15,0,0,0,15,9,2,1,0,1,57,56
화곡로20길,POINT (126.836518 37.539433),0,5,1,0,10,4,0,0,3,1,15,0,0,0,15,11,5,2,4,1,77,74
월정로,POINT (126.836545 37.532966),0,2,4,0,15,2,0,0,2,0,12,0,0,0,15,7,6,5,0,0,70,82
화곡로20길,POINT (126.836641 37.538915),0,4,0,0,8,3,0,0,4,1,15,0,0,0,15,7,2,2,0,1,62,61
가로공원로76길,POINT (126.837045 37.537136),0,3,3,0,3,1,0,0,3,1,15,0,0,0,15,8,4,1,0,0,57,45
월정로32길,POINT (126.837485 37.535553),0,3,5,1,8,1,0,0,3,0,7,0,0,1,15,10,11,5,1,0,71,47
월정로,POINT (126.837526 37.531342),0,5,5,0,15,2,0,0,5,0,15,0,0,2,15,11,12,3,1,0,91,75
화곡로26가길,POINT (126.837669 37.540254),1,9,2,1,15,7,0,0,3,1,15,0,0,0,15,15,15,5,6,0,110,63
강서로29길,POINT (126.837786 37.538285),0,4,3,0,9,1,0,0,3,1,15,0,0,0,15,15,2,1,0,0,69,41
화곡로,POINT (126.838052 37.540996),1,10,3,1,15,6,0,0,11,1,15,1,0,0,15,15,15,11,10,1,131,86
곰달래로15가길,POINT (126.838111 37.531304),0,7,3,0,11,4,0,0,6,0,15,0,0,7,15,10,15,6,2,0,101,62
곰달래로,POINT (126.838126 37.53005),0,8,3,0,3,4,0,0,5,0,15,0,0,15,15,15,10,3,0,1,97,85
월정로30길,POINT (126.838135 37.534491),0,2,4,1,10,2,0,0,4,0,11,0,0,1,15,11,13,8,1,1,84,34
가로공원로76길,POINT (126.838498 37.533759),0,2,2,0,11,1,0,0,6,0,13,0,0,1,15,12,15,9,2,1,90,40
가로공원로,POINT (126.838506 37.537346),0,4,3,0,7,2,0,0,2,1,15,0,0,0,15,14,3,1,0,0,67,30
월정로20길,POINT (126.838556 37.529636),0,9,1,0,2,3,0,0,6,0,13,0,0,15,15,15,9,2,0,2,92,67
화곡로24길,POINT (126.83891 37.539335),0,6,5,1,12,4,0,0,4,1,15,0,0,0,15,15,10,2,3,0,93,53
가로공원로76가길,POINT (126.838999 37.53293),0,5,4,0,11,3,0,0,4,0,15,0,0,3,15,10,14,7,2,0,93,39
곰달래로15길,POINT (126.839506 37.531927),0,6,3,0,3,2,0,0,3,0,15,0,0,2,15,10,10,5,2,0,76,31
월정로32길,POINT (126.839522 37.536338),0,3,4,0,8,2,0,0,0,0,12,0,0,0,15,8,1,1,1,1,56,29
가로공원로80길,POINT (126.839574 37.535734),0,3,3,0,10,2,0,0,3,0,7,0,0,1,15,8,5,3,1,1,62,25
화곡로26길,POINT (126.839608 37.541414),1,13,5,1,15,4,2,1,14,0,15,1,0,2,15,15,15,13,12,0,144,97
강서로7길,POINT (126.839671 37.528739),0,10,2,0,1,1,0,0,6,0,11,0,0,15,15,15,2,0,0,1,79,54
월정로16길,POINT (126.839716 37.52773),0,6,2,0,1,1,0,0,4,0,7,0,0,9,15,10,0,0,0,1,56,83
곰달래로15가길,POINT (126.839724 37.530533),0,8,2,0,2,4,0,0,4,0,15,1,0,15,15,12,10,1,1,1,91,37
강서로29길,POINT (126.839822 37.539071),0,5,5,1,9,1,1,0,2,1,15,0,0,0,15,12,2,1,1,0,71,48
화곡로24길,POINT (126.839896 37.537713),0,2,3,0,7,2,0,0,0,0,15,0,0,0,15,9,1,0,0,0,54,35
강서로31길,POINT (126.839934 37.539683),0,7,5,1,13,2,2,0,4,1,15,0,0,0,15,15,15,5,6,0,106,60
월정로14길,POINT (126.840087 37.527126),0,5,1,1,1,0,0,0,4,0,6,0,0,3,15,9,0,0,0,0,45,93
월정로30길,POINT (126.84017 37.535278),0,3,4,0,10,1,0,0,2,0,5,0,0,1,15,7,4,3,1,2,58,21
화곡로,POINT (126.840188 37.54159),1,12,5,2,15,3,2,1,15,0,15,1,0,2,15,15,15,13,13,0,145,99
곰달래로16길,POINT (126.840302 37.528369),0,8,3,0,1,1,0,0,5,0,10,0,0,15,15,11,0,1,0,2,72,50
곰달래로,POINT (126.840383 37.530182),0,8,2,0,1,2,0,0,2,0,12,1,0,15,15,11,2,0,0,3,74,22
월정로,POINT (126.840476 37.526473),0,3,2,1,4,0,0,0,0,0,5,0,0,0,15,9,0,0,0,0,39,100
가로공원로80길,POINT (126.840559 37.534112),0,2,5,0,11,0,0,0,1,0,15,0,0,1,15,6,6,5,2,2,71,16
가로공원로,POINT (126.840658 37.537839),0,2,3,0,4,1,0,0,0,1,15,0,0,0,15,9,0,0,0,0,50,46
월정로20길,POINT (126.84081 37.529755),0,11,1,0,3,1,0,0,4,0,15,1,0,15,15,10,1,1,0,3,81,14
화곡로26길,POINT (126.840875 37.539929),0,9,6,1,10,0,2,1,5,1,15,0,0,1,15,15,15,5,7,0,108,71
