RN,geometry,대형마트_개수,편의점_개수,지하철역_개수,은행_개수,문화시설_개수,공공기관_개수,카페_개수,병원_개수,약국_개수,헬스클럽_개수,셀프빨래방_개수,집객시설_총_개수,상주인구_수,도로_폭,도로_길이,집랭크,상랭크,가점수
강서로17길,POINT (126.845671 37.533482),0,7,1,5,0,0,15,15,6,9,0,58,14354,11,780,11,12,23
곰달래로19나길,POINT (126.844676 37.530839),1,6,0,2,0,1,15,15,2,6,2,50,15012,5,264,16,10,26
곰달래로,POINT (126.845433 37.530496),1,8,1,5,0,1,15,15,5,10,1,62,12166,6,2850,9,27,36
강서로13길,POINT (126.845366 37.531206),1,5,2,7,0,0,15,15,9,12,0,66,11874,6,279,8,28,36
강서로15길,POINT (126.843961 37.532232),0,5,0,3,0,0,10,10,2,5,1,36,14063,5,45,35,13,48
월정로20길,POINT (126.843529 37.529935),0,9,0,2,0,2,5,0,1,4,3,26,17280,6,75,49,1,50
월정로20길,POINT (126.84081 37.529755),0,11,0,4,0,1,10,1,1,0,3,31,13760,5,501,42,14,56
강서로7길,POINT (126.844871 37.530017),0,8,0,2,0,1,9,1,0,6,1,28,14810,6,236,45,11,56
강서로17나길,POINT (126.844053 37.532701),0,5,0,3,0,0,10,12,3,5,1,39,12296,6,551,32,24,56
강서로7길,POINT (126.843398 37.529244),0,8,0,4,0,1,5,0,2,3,3,26,15313,7,781,49,7,56
가로공원로76길,POINT (126.838498 37.533759),0,2,0,6,0,0,12,15,9,2,1,47,10437,12,573,17,40,57
곰달래로24길,POINT (126.846649 37.53057),1,8,2,10,0,1,15,15,6,11,0,69,8664,8,229,7,51,58
월정로20길,POINT (126.842125 37.529866),0,8,0,3,0,1,4,0,2,3,3,24,16410,5,87,53,5,58
강서로7길,POINT (126.846523 37.52957),0,9,0,9,0,1,15,15,3,8,0,60,9047,6,236,10,49,59
강서로7길,POINT (126.844816 37.529373),0,8,0,2,0,1,10,0,1,5,1,28,13581,6,65,45,15,60
가로공원로76가길,POINT (126.838999 37.53293),0,5,0,4,0,0,10,14,7,2,0,42,10794,8,462,25,39,64
월정로30길,POINT (126.838135 37.534491),0,2,0,4,0,0,11,13,8,1,1,40,10964,8,584,30,34,64
강서로5가길,POINT (126.845818 37.52906),0,10,0,4,0,1,15,7,2,4,1,44,10030,5,60,23,43,66
강서로17가길,POINT (126.844508 37.533443),0,5,0,3,0,0,12,15,4,5,1,45,10019,6,82,22,44,66
곰달래로15길,POINT (126.839506 37.531927),0,6,0,3,0,0,10,10,5,2,0,36,11655,6,250,35,31,66
강서로7길,POINT (126.841167 37.528947),0,11,0,4,0,1,10,0,2,2,1,31,12228,7,781,42,26,68
곰달래로18길,POINT (126.841345 37.530243),0,9,0,2,0,1,6,0,1,1,2,22,15229,6,217,60,8,68
곰달래로,POINT (126.840383 37.530182),0,8,0,2,0,1,11,2,0,0,3,27,12534,13,2850,47,22,69
가로공원로80길,POINT (126.840559 37.534112),0,2,0,1,0,0,6,6,5,2,2,24,13287,5,459,53,16,69
곰달래로15가길,POINT (126.839724 37.530533),0,8,0,4,0,1,12,10,1,1,1,38,10853,6,257,33,37,70
강서로,POINT (126.847061 37.531181),1,11,2,10,0,1,15,15,9,11,2,77,6388,30,5526,3,68,71
강서로13길,POINT (126.846262 37.532509),1,7,2,7,0,1,15,15,9,13,0,70,6746,6,279,6,65,71
곰달래로22길,POINT (126.844165 37.530418),0,6,0,0,0,1,7,0,1,3,2,20,16524,6,220,70,4,74
강서로31길,POINT (126.839934 37.539683),0,7,0,4,1,0,15,15,5,6,0,53,7551,6,125,15,60,75
강서로5가길,POINT (126.846565 37.5291),0,9,0,4,0,1,15,10,2,5,0,46,8326,5,52,20,55,75
곰달래로19길,POINT (126.842318 37.531739),0,7,0,4,0,1,5,1,0,0,2,20,15807,5,152,70,6,76
화곡로26가길,POINT (126.837669 37.540254),1,9,0,3,1,0,15,15,5,6,0,55,6906,5,145,14,63,77
가로공원로80길,POINT (126.839574 37.535734),0,3,0,3,0,0,8,5,3,1,1,24,12244,5,459,53,25,78
곰달래로20길,POINT (126.842768 37.530333),0,6,0,2,0,1,4,0,1,2,3,19,16711,6,218,75,3,78
화곡로24길,POINT (126.83891 37.539335),0,6,0,4,1,0,15,10,2,3,0,41,8446,8,419,27,53,80
월정로30길,POINT (126.84017 37.535278),0,3,0,2,0,0,7,4,3,1,2,22,12664,8,584,60,21,81
화곡로26길,POINT (126.840875 37.539929),0,9,1,5,1,0,15,15,5,7,0,58,6210,6,398,11,71,82
곰달래로15가길,POINT (126.838111 37.531304),0,7,0,6,0,0,10,15,6,2,0,46,7043,6,257,20,62,82
가로공원로,POINT (126.838506 37.537346),0,4,0,2,1,0,14,3,1,0,0,25,11776,38,2405,52,30,82
곰달래로19나길,POINT (126.84242 37.530699),0,4,0,1,0,1,6,0,1,2,2,17,16937,5,264,80,2,82
가로공원로76가길,POINT (126.841038 37.533711),0,5,0,5,0,0,3,3,2,1,2,21,13264,8,462,66,17,83
곰달래로22길,POINT (126.844305 37.52862),0,7,0,2,0,1,7,0,2,2,1,22,12376,6,220,60,23,83
곰달래로18길,POINT (126.841488 37.528445),0,8,0,3,0,0,8,0,2,2,1,24,11331,6,217,53,32,85
월정로32길,POINT (126.837485 37.535553),0,3,0,3,0,0,10,11,5,1,0,33,9701,6,497,39,47,86
강서로17다길,POINT (126.842238 37.532537),0,5,0,4,0,0,4,1,0,1,2,17,15070,8,175,80,9,89
화곡로,POINT (126.838052 37.540996),1,10,0,11,1,1,15,15,11,10,1,76,4695,28,6024,4,86,90
강서로29길,POINT (126.837786 37.538285),0,4,0,3,1,0,15,2,1,0,0,26,10360,12,490,49,41,90
월정로20길,POINT (126.838556 37.529636),0,9,0,6,0,0,15,9,2,0,2,43,6642,5,501,24,67,91
