자치구,행정동,행정동_코드,월평균_총생활인구수,연령대0_평균,연령대10_평균,연령대20_평균,연령대30_평균,연령대40_평균,연령대50_평균,연령대60_평균,연령대70이상_평균,1인가구,2인가구,3인가구,4인가구,5인가구,6인가구,7인 이상 가구,연령대_100,연령대_0_거주인구수,연령대_10_거주인구수,연령대_20_거주인구수,연령대_30_거주인구수,연령대_40_거주인구수,연령대_50_거주인구수,연령대_60_거주인구수,연령대_70_거주인구수,연령대_80_거주인구수,연령대_90_거주인구수,유흥주점영업,단란주점,제과점영업,집단급식소,일반음식점,휴게음식점,연령대_2030_거주인구수_합,연령대_2030_거주인구수_평균,연령대_20_거주인구수_비율,연령대_30_거주인구수_비율,연령대_2030_거주인구수_비율,1인가구_비율,식품접객업,주점,주요경제활동인구_거주인구수,주요경제활동인구_생활인구수,PET예측량,수거함_개수,총_거주인구수,수거함개수_당_거주인구수
광진구,중곡4동,11215770,18787353.04703333,1235867.3017666668,1636002.1562166668,2489973.561833333,2873869.888458333,2659556.2322833333,3082496.1999833337,2444395.6899166666,2365192.0058333334,3747,3366,2560,1760,390,83,24,12.916666666666666,1248.25,1717.75,4008.4166666666665,3921.75,3693.6666666666665,4808.916666666667,4136.5,2087.9166666666665,732.0,92.16666666666669,0.0,12.0,81.0,142.0,1763.0,341.0,7930.166666666666,7930.166666666666,0.151488238647279,0.1482128853657845,0.2997011240130635,0.3140821458507963,2339.0,12.0,16432.75,11105895.882558333,95.28910853023334,0.0,26460.250000000004,26460.250000000004
광진구,구의3동,11215870,22880216.0674,1850343.3320916668,2443886.3459416665,3166729.4977166667,3539065.5497833337,3946832.358775,3543895.8315,2372386.138925,2017077.003125,3110,2871,2559,2093,394,63,21,5.333333333333333,1657.0833333333333,2269.6666666666665,4193.833333333333,4211.833333333333,4071.1666666666665,4424.916666666667,3294.0,1558.6666666666667,690.5833333333334,100.66666666666669,24.0,48.0,136.0,137.0,3152.0,1020.0,8405.666666666666,8405.666666666666,0.1583908501792385,0.1590706662512235,0.317461516430462,0.2799027990279902,4517.0,72.0,16901.75,14196523.237775,99.0043429511,1.0,26477.75,26477.75
동대문구,용신동,11230536,28533999.44285,1133191.1846833334,1487168.714825,4944984.298183333,4914170.453808334,4421952.53715,4547593.792791666,3490274.605283333,3594663.8443833333,8464,3551,2035,1273,279,71,29,8.666666666666666,1123.0833333333333,1279.8333333333333,5677.25,5000.0,3798.8333333333335,4239.0,3894.9166666666665,2305.333333333333,1051.5,121.5,84.0,264.0,72.0,336.0,7255.0,1476.0,10677.25,10677.25,0.1992023368489381,0.1754391094710803,0.3746414463200184,0.5390396127881798,9487.0,348.0,18715.083333333336,18828701.08193333,190.2136043277333,0.0,28499.916666666668,28499.916666666668
동대문구,전농1동,11230560,23574356.583866667,1457400.718675,1907767.805966667,4067470.542591667,3419103.342766667,3547157.337175,3468014.359658333,2742668.6250583334,2964773.85355,5814,3212,2419,1667,370,79,23,13.5,1670.5833333333333,1693.3333333333333,4182.916666666667,3837.5,3893.5833333333335,4445.0,3915.1666666666665,2274.1666666666665,1006.4166666666666,114.75,60.0,84.0,167.0,315.0,5179.0,1938.0,8020.416666666667,8020.416666666667,0.1546541041338661,0.1418830858723883,0.2965371900062545,0.4280035335689046,7743.0,144.0,16359.0,14501745.582191668,136.93203232876667,0.0,27046.91666666667,27046.91666666667
동대문구,답십리1동,11230600,16761373.462025002,1560452.196316667,1286225.2961333334,2085826.3292416667,2953394.896108333,2825985.5351666664,2435187.969391667,1816437.667583333,1797863.5547583334,3717,2869,2577,1828,470,82,24,12.333333333333334,2465.75,1812.9166666666667,3795.3333333333335,4793.0,4354.416666666667,3892.5833333333335,3082.333333333333,1625.9166666666667,738.9166666666666,90.5,96.0,101.0,117.0,231.0,3436.0,1157.0,8588.333333333334,8588.333333333334,0.1423392339233923,0.1797554755475547,0.3220947094709471,0.3213452061900233,5138.0,197.0,16835.333333333332,10300394.729908332,91.65985391963332,1.0,26664.0,26664.0
동대문구,답십리2동,11230610,16882366.914541665,1031772.1298666666,1222141.6631333332,1920110.045925,2715805.3061583336,2718614.3989,2720200.4918583333,2197337.789908333,2356385.088208333,3448,3396,2573,1818,409,97,15,5.583333333333333,1650.25,1754.5833333333333,3374.583333333333,4039.6666666666665,3764.8333333333335,4456.333333333333,3942.25,2246.5,955.1666666666666,112.0,24.0,36.0,24.0,72.0,787.0,131.0,7414.25,7414.25,0.1283026161123626,0.1535892732105911,0.2818918893229538,0.293297039809459,1074.0,60.0,15635.416666666668,10074730.242841668,87.10552097136667,0.0,26301.75,26301.75
동대문구,장안2동,11230660,20385275.020725,1897340.886566667,2021886.4968833327,2309064.6397416666,3246680.248783333,3497756.1403166666,2971327.441883333,2189817.841591667,2251401.31795,3212,3275,2947,2306,464,134,25,10.083333333333334,2533.9166666666665,2572.9166666666665,3503.1666666666665,4557.666666666667,5269.5,4538.0,4006.5833333333335,2085.6666666666665,734.5833333333334,99.5,87.0,60.0,36.0,48.0,1333.0,122.0,8060.833333333334,8060.833333333334,0.1171173932060879,0.1523712942867729,0.2694886874928609,0.2598074900914017,1686.0,147.0,17868.333333333336,12024828.470725,91.7022138829,1.0,29911.58333333333,29911.58333333333
중랑구,묵1동,11260620,19436947.351766665,1438353.000591667,1743990.5772,2538461.351075,2867118.0875833333,3082666.8163,2861918.5247166664,2418756.901858333,2485682.0638416666,3741,3588,3091,2406,593,107,34,14.083333333333334,2051.25,2801.083333333333,4512.583333333333,4388.75,5207.666666666667,5076.333333333333,4429.0,2379.75,958.3333333333334,116.66666666666669,24.0,120.0,89.0,201.0,2501.0,768.0,8901.333333333332,8901.333333333332,0.1413030431129412,0.1374254356437194,0.2787284787566605,0.2758849557522124,3703.0,144.0,19185.33333333333,11350164.779675,96.1847341187,0.0,31935.5,31935.5
중랑구,망우본동,11260655,26668518.256641667,1768827.740441667,2116657.015308333,3263145.026758333,3777784.417008333,3987457.13125,4664915.795241667,3728362.454416666,3361368.6692583333,4734,3518,2403,1682,406,93,24,9.5,1454.3333333333333,1747.3333333333333,3828.8333333333335,3865.9166666666665,3817.5,5172.666666666667,4820.5,2408.1666666666665,952.5,143.16666666666666,15.0,228.0,109.0,345.0,4461.0,1162.0,7694.75,7694.75,0.1356760028938859,0.1369900633406664,0.2726660662345524,0.3681181959564541,6320.0,243.0,16684.916666666668,15693302.370258331,127.03725948103332,1.0,28220.416666666668,28220.416666666668
중랑구,신내1동,11260680,25243658.950116664,2782690.398225,2412282.151066667,2755551.002933333,3392717.2099416666,3871300.674266666,4008096.012233333,3078121.3802416665,2942900.099225,2426,3753,3226,3128,896,172,45,10.0,2848.083333333333,3446.25,4402.833333333333,4415.166666666667,5394.583333333333,5891.833333333333,5250.666666666667,2590.083333333333,1175.0,199.8333333333333,0.0,0.0,101.0,312.0,2657.0,683.0,8818.0,8818.0,0.1235906169004332,0.1239368222095384,0.2475274391099716,0.1777810347354536,3753.0,0.0,20104.416666666664,14027664.899375,89.0436095975,1.0,35624.333333333336,35624.333333333336
성북구,길음1동,11290660,25843970.07239167,3725651.5805833335,3840436.586183333,2319169.228191667,3017081.9773,4870697.002008333,3249983.381125,2182421.6543833334,2638528.647266667,1721,2694,3298,3380,627,108,22,7.583333333333333,3460.25,4496.75,3118.25,4040.0,7142.25,4653.25,3051.083333333333,1889.9166666666667,774.0,112.33333333333331,12.0,12.0,216.0,199.0,2125.0,1012.0,7158.25,7158.25,0.0952263403809155,0.1233751030670725,0.218601443447988,0.1452320675105485,3576.0,24.0,18953.75,13456931.588625,77.1903013545,0.0,32745.666666666664,32745.666666666664
성북구,종암동,11290705,28510077.889891665,2106130.184225,2882465.9468166665,4609028.8188,3848087.533825,4276118.415708333,4189020.713083334,3007597.4618583336,3591628.826758333,5568,3939,3316,2693,604,116,32,13.333333333333334,2360.9166666666665,3323.6666666666665,5193.333333333333,4669.75,5769.666666666667,5799.916666666667,4500.083333333333,2628.583333333333,1378.0,214.5833333333333,12.0,36.0,108.0,323.0,3167.0,864.0,9863.083333333332,9863.083333333332,0.1448554467228547,0.1302513586009083,0.275106805323763,0.3422670272928448,4510.0,48.0,21432.666666666668,16922255.481416665,143.27462192566665,0.0,35851.833333333336,35851.833333333336
강북구,송중동,11305545,25413059.23215,1509606.915383333,2086506.7018416664,3495818.184433333,3371348.991958333,3826707.6927,4138145.231991667,3176263.2021333333,3808662.318625,4548,3369,2499,1713,415,83,20,9.0,1356.0,1821.3333333333333,3866.25,3665.8333333333335,4082.9166666666665,4700.666666666667,4269.5,2508.4166666666665,955.0,106.91666666666669,60.0,156.0,58.0,179.0,5299.0,1117.0,7532.083333333334,7532.083333333334,0.1414041974751753,0.13407415986492,0.2754783573400954,0.3596109749347671,6869.0,216.0,16315.666666666668,14832020.101083336,121.06718040433331,0.0,27341.833333333336,27341.833333333336
강북구,삼각산동,11305575,17032208.963108335,1960187.53655,2261270.399308333,1460290.6855499998,2007769.8118583327,3223450.3123583333,2348978.90685,1666216.1756666666,2104045.128891667,2021,2663,2948,2741,530,102,30,7.666666666666667,2619.5,3606.0,3049.583333333333,3367.1666666666665,5804.416666666667,4607.916666666667,3122.333333333333,1823.75,764.8333333333334,88.41666666666667,0.0,12.0,24.0,80.0,1513.0,365.0,6416.75,6416.75,0.1056623712605279,0.1166660410753625,0.2223284123358905,0.1831445400996828,1994.0,12.0,16829.083333333336,9040489.716616664,63.59703386646666,1.0,28861.58333333333,28861.58333333333
강북구,인수동,11305660,21384459.45738333,1519931.3523916667,1600809.394675,2722208.9730166667,2703483.922375,3055651.825091667,3397722.7054,2800635.259833333,3584016.02935,3937,3890,2719,1728,390,101,29,7.0,1356.8333333333333,1894.0833333333333,3626.3333333333335,3450.583333333333,3965.6666666666665,4860.5,4676.166666666667,2897.083333333333,1257.8333333333333,172.16666666666666,51.0,0.0,36.0,206.0,2642.0,615.0,7076.916666666666,7076.916666666666,0.1287566092948803,0.1225164289243751,0.2512730382192554,0.3077223698608722,3550.0,51.0,15903.083333333332,11879067.425883334,100.96104470353332,1.0,28164.25,28164.25
도봉구,창2동,11320512,21299375.969525,1511553.8238583335,1748677.5898666668,2801557.6283833333,3122586.4751,3213254.7279,3342565.5209583337,2670167.014558333,2889013.1900583333,2889,3391,2661,1935,429,88,25,3.25,1549.3333333333333,2014.1666666666667,3772.8333333333335,3670.8333333333335,4112.083333333333,4680.916666666667,3894.9166666666665,2122.5,911.0833333333334,98.91666666666669,0.0,18.0,72.0,200.0,1766.0,514.0,7443.666666666667,7443.666666666667,0.1406155853029785,0.1368139888809516,0.2774295741839301,0.2530215449290593,2570.0,18.0,16236.666666666668,12479964.352341669,89.13803240936667,1.0,26830.833333333336,26830.833333333336
도봉구,방학1동,11320690,17685753.24755,1145478.767925,1446259.1303166666,2142782.819275,2284588.2767166668,2635524.671375,3061259.386958333,2466329.047241667,2503531.134783333,3502,3281,2386,1832,443,80,17,5.916666666666667,1362.0833333333333,1981.3333333333333,3538.1666666666665,3014.333333333333,3805.5833333333335,4886.083333333333,4328.583333333333,2408.75,893.3333333333334,138.58333333333334,0.0,200.0,189.0,281.0,5213.0,1173.0,6552.5,6552.5,0.1342108340998821,0.114340625819891,0.2485514599197732,0.3034399098864916,7056.0,200.0,15244.166666666668,10124155.154325,88.0362706173,1.0,26362.75,26362.75
노원구,월계3동,11350580,19596133.196266662,1965383.8952666668,1613987.416475,2136935.34325,2758276.574458333,3008111.5554833333,2926353.888258333,2481995.347625,2705089.160933333,3359,3696,2893,1867,377,64,9,6.833333333333333,1977.4166666666667,1918.5833333333333,3213.75,4135.666666666667,4174.25,4346.75,4297.0,2386.9166666666665,1061.9166666666667,134.41666666666666,0.0,0.0,116.0,180.0,640.0,553.0,7349.416666666667,7349.416666666667,0.1162149456669137,0.1495531005719589,0.2657680462388727,0.2738687321646963,1489.0,0.0,15870.416666666668,10829677.36145,88.9171344458,0.0,27653.500000000004,27653.500000000004
노원구,공릉1동,11350595,31791471.489833336,2235694.6205333336,2580841.01575,5274691.923816667,4488800.886758333,4725560.8483,4676196.370233334,3983083.859525,3826601.979341666,7356,4078,3000,2219,468,112,21,5.75,1824.0833333333333,2380.833333333333,6033.416666666667,4806.583333333333,4901.25,5238.25,5073.166666666667,2558.25,982.3333333333334,151.58333333333334,0.0,84.0,156.0,283.0,5047.0,1290.0,10840.0,10840.0,0.1776859909783884,0.1415553690369257,0.3192413600153141,0.4263359221050191,6860.0,84.0,20979.5,19165250.02910833,176.51870011643334,0.0,33955.5,33955.5
노원구,공릉2동,11350600,30824577.46183333,2387149.942358333,4079362.2729333336,6035361.231075,3821998.673166666,4521236.292841666,4058082.151375,2985374.5490416666,2936012.339825,4783,3581,3296,3113,597,113,25,5.666666666666667,2580.25,3896.9166666666665,6069.333333333333,4744.666666666667,5855.916666666667,5530.166666666667,4251.166666666667,2050.25,906.25,126.66666666666669,0.0,24.0,129.0,418.0,3483.0,1527.0,10814.0,10814.0,0.1685118473324124,0.1317331741503492,0.3002450214827617,0.3084214598916688,5581.0,24.0,22200.083333333336,18436678.34845833,138.67593839383332,0.0,36017.25,36017.25
노원구,중계2.3동,11350625,24706564.051025,2015364.3395916668,3023528.1289333333,2720725.63815,2944821.1856,4045491.3596333335,3719609.6718,2781389.7469083336,3455633.977925,4119,4302,3158,2321,382,69,8,8.666666666666666,1769.4166666666667,2830.583333333333,3842.25,3832.8333333333335,5154.0,5176.333333333333,4505.5,3016.5,1486.6666666666667,202.25,0.0,0.0,149.0,237.0,1602.0,756.0,7675.083333333334,7675.083333333334,0.1207305577376276,0.1204346687614558,0.2411652264990835,0.2868584163242565,2744.0,0.0,18005.416666666668,13430647.855183337,109.63801642073334,0.0,31825.000000000004,31825.000000000004
노원구,상계1동,11350630,28804501.828191668,2317693.3055166667,2807317.8277666667,3278772.3920583334,3653375.341908333,4100968.2105666655,4662565.3911666665,3990922.4015,3992886.964008333,3454,4129,3405,2775,631,117,27,15.75,2039.5833333333333,3012.833333333333,4746.583333333333,4408.083333333333,5124.083333333333,6345.416666666667,5581.0,2666.333333333333,1166.0,184.5833333333333,0.0,36.0,116.0,300.0,3652.0,1037.0,9154.666666666666,9154.666666666666,0.1345012668749395,0.1249093824309358,0.2594106493058753,0.2375842619342413,5141.0,36.0,20624.166666666668,15695681.335699998,109.6707753428,0.0,35290.25,35290.25
노원구,상계6.7동,11350695,34905929.21145,2797893.0235416666,3741637.9129166654,4633963.7658916665,4796294.8004416665,5359442.842958334,5524221.908275,3876949.9039833336,4175525.0554833338,3524,3646,3071,2361,380,52,10,6.166666666666667,2142.1666666666665,2703.75,4122.0,4437.666666666667,4909.25,5196.0,3768.5833333333335,1825.8333333333333,939.0833333333334,181.41666666666663,270.0,113.0,141.0,286.0,2637.0,918.0,8559.666666666668,8559.666666666668,0.1363459699048742,0.1467874735034442,0.2831334434083185,0.27016252683226,4365.0,383.0,18664.916666666668,20313923.317566667,129.09399327026665,0.0,30231.916666666664,30231.916666666664
